og_idx,Subject,CommitId,Author,Date,link,affected_class,#affected_files,Log message,Refactoring parent category 2,Refactoring parent category 1,Refactoring category,Representative refactoring category,Abbreviation,Is ML-specific refactoring category?,ML technical debt category,Is new technical debt category?,In ML-related code?
60,datacleaner/DataCleaner,b907e804a,Kasper Sørensen,2015-05-04 09:17:56 +0200,https://github.com/datacleaner/DataCleaner/commit/b907e804a,desktop/ui/src/main/java/org/datacleaner/widgets/visualization/JobGraphNodeBuilder.java,1,Minor refactor to have removeUnnecesaryEdges incapsulate the for-loop,,Generic,Reorganization,Reorganization,ORG,FALSE,,,FALSE
63,deeplearning4j/deeplearning4j,3c0c59ab88,shugeo,2019-10-09 22:09:33 +0300,https://github.com/deeplearning4j/deeplearning4j/commit/3c0c59ab88,libnd4j/include/ops/declarable/helpers/cpu/fake_quantization.cpp,1,Refactored fake_quant_with_min_max_vars op.,,Generic,Duplicate code elimination,Duplicate code elimination,DUP,FALSE,Duplicate model code,TRUE,TRUE
68,deeplearning4j/deeplearning4j,aa4af2c36d,Robert Altena,2019-07-29 21:20:16 +0900,https://github.com/deeplearning4j/deeplearning4j/commit/aa4af2c36d,nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/linalg/factory/Nd4j.java,1,refactor duplicate code from pad methods. (#86),,Generic,Duplicate code elimination,Duplicate code elimination,DUP,FALSE,Duplicate model code,TRUE,TRUE
75,deeplearning4j/deeplearning4j,f3e42173ef,shugeo,2019-10-02 16:51:09 +0300,https://github.com/deeplearning4j/deeplearning4j/commit/f3e42173ef,libnd4j/include/ops/declarable/generic/datatypes/bitcast.cpp,1,Refactored buffer copying to avoid wrong usage of buffers.,,Generic,Safety,Safety,SAF,FALSE,Multiple languages,FALSE,FALSE
86,elastic/elasticsearch,28d6b505ed9,Dimitrios Athanasiou,2017-03-24 10:51:25 +0000,https://github.com/elastic/elasticsearch/commit/28d6b505ed9,plugin/src/main/java/org/elasticsearch/xpack/ml/MachineLearningFeatureSet.java,1,[ML] Minor refactoring to improve code readability,,Generic,Clean up,Clean up,CLN,FALSE,,,TRUE
87,elastic/elasticsearch,3a0d1841d9d,javanna,2015-10-05 14:50:15 +0200,https://github.com/elastic/elasticsearch/commit/3a0d1841d9d,core/src/main/java/org/elasticsearch/index/query/IndexQueryParserService.java,1,Query refactoring: simplify IndexQueryParserService parse methods and prepare the field for #13859,,Generic,Reorganization,Reorganization,ORG,FALSE,,,FALSE
99,elastic/elasticsearch,97703bf0da3,Dimitris Athanasiou,2018-03-21 14:54:55 +0000,https://github.com/elastic/elasticsearch/commit/97703bf0da3,plugin/ml/src/main/java/org/elasticsearch/xpack/ml/job/process/autodetect/output/AutoDetectResultProcessor.java,1,[ML] Refactor method to process model size stats (elastic/x-pack-elasticsearch#4175),,Generic,Reorganization,Reorganization,ORG,FALSE,,,TRUE
106,elastic/elasticsearch,c567ec4a0fe,Albert Zaharovits,2018-08-26 14:09:23 +0300,https://github.com/elastic/elasticsearch/commit/c567ec4a0fe,x-pack/plugin/security/src/main/java/org/elasticsearch/xpack/security/authc/support/CachingUsernamePasswordRealm.java,1,Refactor CachingUsernamePassword realm (#32646),,Generic,Clean up,Clean up,CLN,FALSE,,,FALSE
137,elki-project/elki,84eff0d84,Erich Schubert,2013-07-30 09:02:19 +0000,https://github.com/elki-project/elki/commit/84eff0d84,src/de/lmu/ifi/dbs/elki/algorithm/outlier/COP.java,1,"Large refactoring of distribution estimators: moved to own package, instead of inner classes. Makes the available algorithms more visible.",ML-specific,Reorganization,Make algorithms more visible,Make algorithms more visible,VIZ,TRUE,Model code comprehension,TRUE,TRUE
138,elki-project/elki,875ad4c47,Erich Schubert,2013-10-30 17:21:58 +0000,https://github.com/elki-project/elki/commit/875ad4c47,src/experimentalcode/shared/algorithm/clustering/biclustering/ChengAndChurch.java,1,Refactor & cleanup.,,ML-specific,Replace rich model parameter with primitives,Replace rich model parameter with primitives,RMP,TRUE,Configuration,FALSE,TRUE
