,Subject,CommitId,Author,Date,link,affected_class,#affected_files,Log message,Refactoring parent category 2,Refactoring parent category 1,Refactoring category,Representative refactoring category,Abbreviation,Is ML-specific refactoring category?,ML technical debt category,Is new technical debt category?,In ML-related code?,cls_before,cls_after,first_commit,last_commit,RF_date,all_before,all_after,change_ratio_before,change_ratoi_after,2nd_ratio_before,2nd_ratio_after,bugs_before,bugs_after,bugs_ratio_before,bugs_ratio_after
40,vespa-engine/vespa,4ab17a2abf,Ilpo Ruotsalainen,2018-11-30 11:27:56 +0100,https://github.com/vespa-engine/vespa/commit/4ab17a2abf,abi-check-plugin/src/main/java/com/yahoo/abicheck/mojo/AbiCheck.java,1,Refactor to extract a method.,,Generic,Reorganization,Reorganization,ORG,False,,,False,6,30,2018-11-28T14:54:45Z,2022-12-04T22:02:42Z,2018-11-30T10:27:56Z,71,46142,0.0845,0.0007,105.5493,0.8121,0,0,0.0,0.0
41,vespa-engine/vespa,840ddab2e6,Jon Bratseth,2019-07-04 08:26:31 -0700,https://github.com/vespa-engine/vespa/commit/840ddab2e6,model-integration/src/main/java/ai/vespa/rankingexpression/importer/DimensionRenamer.java,1,Refactor out solving without soft constraints,Generic,Reorganization,Extract methods,Reorganization,ORG,False,,,True,12,15,2018-11-22T13:27:58Z,2022-12-04T22:02:42Z,2019-07-04T15:26:31Z,6672,39675,0.0018,0.0004,2.9771,0.6258,0,0,0.0,0.0
42,vespa-engine/vespa,89d9cf538f,Bjørn Christian Seime,2017-06-19 12:49:17 +0200,https://github.com/vespa-engine/vespa/commit/89d9cf538f,configgen/src/main/java/com/yahoo/config/codegen/MakeConfig.java,1,Refactor logic for generating config into separate method,,Generic,Reorganization,Reorganization,ORG,False,,,False,7,8,2016-06-15T21:09:44Z,2022-08-31T20:50:14Z,2017-06-19T12:42:31Z,8833,56759,0.0008,0.0001,3.2488,0.5778,0,0,0.0,0.0
43,vespa-engine/vespa,cfb1ae9d80,Ola Aunrønning,2019-10-04 13:16:57 +0200,https://github.com/vespa-engine/vespa/commit/cfb1ae9d80,controller-server/src/main/java/com/yahoo/vespa/hosted/controller/maintenance/ResourceMeterMaintainer.java,1,Refactoring,Generic,Reorganization,Extract methods,Reorganization,ORG,False,,,False,21,38,2019-03-25T10:23:48Z,2023-03-29T16:06:43Z,2019-10-04T11:16:57Z,5581,40922,0.0038,0.0009,2.9163,0.7197,0,0,0.0,0.0
44,vespa-engine/vespa,dc9e53f291,Arne Juul,2019-11-26 08:45:40 +0000,https://github.com/vespa-engine/vespa/commit/dc9e53f291,searchlib/src/tests/queryeval/nearest_neighbor/nearest_neighbor_test.cpp,1,refactor and check with non-null tensor,Generic,Reorganization,Extract methods,Reorganization,ORG,False,,,True,2,30,2019-11-25T12:32:19Z,2023-04-27T13:27:36Z,2019-11-26T08:53:26Z,25,40067,0.08,0.0007,97.1927,0.9097,0,0,0.0,0.0
45,datacleaner/DataCleaner,59f39c7b9,Kasper Sørensen,2019-03-24 20:51:31 -0700,https://github.com/datacleaner/DataCleaner/commit/59f39c7b9,components/machine-learning/src/main/java/org/datacleaner/components/machinelearning/MLTrainingAnalyzer.java,19,"Refactored components to have a ""Training analyzer"" per algorithm.",ML-specific,Reorganization,Push down hyperparameters,Push down hyperparameters,HYP,True,Configuration,False,True,4,1,2019-03-05T19:07:34Z,2019-03-29T03:11:10Z,2019-03-25T04:07:35Z,44,6,0.0909,0.1667,0.7576,1.3889,0,0,0.0,0.0
46,elki-project/elki,3ba90d540,Erich Schubert,2014-06-30 15:21:16 +0000,https://github.com/elki-project/elki/commit/3ba90d540,src/experimentalcode/shared/algorithm/classifier/PriorProbabilityClassifier.java,5,Cleanup and refactor classification code.,,ML-specific,Replace primitives with rich prediction,Replace primitives with rich prediction,PRD,True,Plain-old-data type,False,True,27,3,2009-05-20T12:51:02Z,2014-10-29T23:04:00Z,2014-06-30T15:21:16Z,4712,167,0.0057,0.018,0.9018,2.8273,0,0,0.0,0.0
47,elki-project/elki,5c3dcd350,Elke Achtert,2006-01-18 08:36:30 +0000,https://github.com/elki-project/elki/commit/5c3dcd350,src/de/lmu/ifi/dbs/featureextraction/image/ImageDescriptor.java,3,refactoring feature extraction for images,ML-specific,Improve comprehension,Make matrix variable names more verbose,Make matrix variable names more verbose,VRB,True,Model code comprehension,True,True,1,20,2006-01-16T17:25:10Z,2008-05-29T09:16:25Z,2006-01-18T08:36:30Z,2,1291,0.5,0.0155,29.3864,0.9105,0,0,0.0,0.0
48,elki-project/elki,5c3dcd350,Elke Achtert,2006-01-18 08:36:30 +0000,https://github.com/elki-project/elki/commit/5c3dcd350,src/de/lmu/ifi/dbs/featureextraction/image/ImageDescriptor.java,3,refactoring feature extraction for images,,ML-specific,Monitor feature extraction progress,Monitor feature extraction progress,MON,True,Monitoring and testing,False,True,1,20,2006-01-16T17:25:10Z,2008-05-29T09:16:25Z,2006-01-18T08:36:30Z,2,1291,0.5,0.0155,29.3864,0.9105,0,0,0.0,0.0
49,elki-project/elki,bec2abe39,Erich Schubert,2014-01-14 12:45:10 +0000,https://github.com/elki-project/elki/commit/bec2abe39,src/de/lmu/ifi/dbs/elki/algorithm/clustering/SNNClustering.java,12,"Remove support for binary, integer and float distances. This is a first step towards moving away from having objects for distances ever. Unfortunately, some algorithms (HiSC, DiSH, ERiC) still rely on this; this will need some careful refactoring of OPTICS, most likely.",,ML-specific,Replace rich model parameter with primitives,Replace rich model parameter with primitives,RMP,True,Configuration,False,True,73,5,2008-07-02T11:40:01Z,2014-07-28T14:44:22Z,2014-01-14T12:45:10Z,5210,319,0.014,0.0157,0.9806,1.097,1,0,0.0137,0.0
